tool,project,status,stmt_pct,branch_pct,lb_pct,n_target_mods,n_tests,batches_failed
test4py_baseline,sanic,ok,59.44055944055944,35.56851311953353,52.622814321398835,11,97,0
test4py_baseline,thefuck,ok,39.93362831858407,16.015625,34.6551724137931,32,56,0
test4py_baseline,thonny,ok,25.093632958801496,9.821428571428571,20.58047493403694,3,28,0
test4py_baseline,tornado,ok,46.65629860031104,23.56621480709072,40.38516001132824,13,135,0
test4py_baseline,tqdm,ok,35.13513513513514,20.0,31.471135940409685,9,19,0
test4py_baseline,typesystem,ok,43.59154929577465,22.026431718061673,36.60161827701095,10,67,0
test4py_baseline,youtube-dl,ok,23.244734202607823,6.901311249137336,18.88909324995402,35,81,0
pynguin,ansible,ok,10.403240655496225,4.013042387760221,8.449227937416914,237,227,0
pynguin,black,ok,0.0,0.0,0.0,6,6,0
pynguin,flutils,ok,36.32707774798928,24.853801169590643,32.720588235294116,9,7,0
pynguin,httpie,ok,54.01844532279315,23.135755258126196,46.10485056344929,19,19,0
pynguin,mimesis,ok,95.42600896860986,87.42514970059881,93.58178053830228,18,18,0
pynguin,py-backwards,ok,38.20224719101124,9.821428571428571,31.41025641025641,19,18,0
pynguin,pyMonet,ok,94.79638009049773,77.41935483870968,90.98939929328623,10,10,0
pynguin,pypara,ok,70.54478301015698,17.142857142857142,63.11605723370429,6,6,0
pynguin,python-semantic-release,ok,73.58490566037736,47.674418604651166,69.2156862745098,6,6,0
pynguin,pytutils,ok,48.23943661971831,33.888888888888886,44.786096256684495,12,10,0
pynguin,sanic,ok,56.75990675990676,39.067055393586,51.70691090757702,11,9,0
pynguin,thefuck,ok,51.88053097345133,21.09375,45.08620689655172,32,30,0
pynguin,thonny,ok,47.19101123595506,33.035714285714285,43.007915567282325,3,3,0
pynguin,tornado,ok,50.38880248833593,32.429614181439,45.51118663268196,13,8,0
pynguin,tqdm,ok,44.47174447174447,27.692307692307693,40.4096834264432,9,6,0
pynguin,typesystem,ok,74.08450704225352,61.67400881057269,70.06187529747739,10,9,0
pynguin,youtube-dl,ok,32.52256770310933,9.66183574879227,26.430016553246276,35,35,0
coverup,PySnooper,ok,69.83471074380165,52.325581395348834,65.2439024390244,4,28,0
coverup,ansible,ok,25.663781992266617,20.282585068138115,24.018304530115554,237,1440,0
coverup,apimd,ok,44.85436893203884,33.666666666666664,40.736196319018404,2,37,0
coverup,black,ok,75.90808005930319,60.854092526690394,71.48090005232862,6,96,0
coverup,codetiming,ok,97.5,100.0,98.07692307692308,1,12,0
coverup,cookiecutter,ok,59.48275862068966,51.785714285714285,56.97674418604651,5,16,0
coverup,dataclasses-json,ok,75.55555555555556,70.0,73.80116959064327,4,37,0
coverup,docstring_parser,ok,79.12371134020619,64.58333333333333,75.18796992481202,5,25,0
coverup,flutes,ok,98.0,89.43661971830986,94.89795918367346,3,35,0
coverup,flutils,ok,88.6058981233244,82.74853801169591,86.76470588235294,9,61,0
coverup,httpie,ok,74.76943346508564,53.91969407265774,69.4267515923567,19,121,0
coverup,isort,ok,98.66666666666667,100.0,98.86363636363636,2,23,0
coverup,mimesis,no_tests,0.0,0.0,0.0,0,0,0
coverup,py-backwards,ok,79.35393258426966,79.46428571428571,79.38034188034187,19,70,0
coverup,pyMonet,ok,97.51131221719457,95.96774193548387,97.17314487632508,10,125,0
coverup,pypara,ok,90.02770083102493,80.57142857142857,88.71224165341812,6,207,0
coverup,python-semantic-release,ok,88.67924528301887,87.20930232558139,88.43137254901961,6,46,0
coverup,python-string-utils,ok,100.0,100.0,100.0,3,55,0
coverup,pytutils,ok,53.16901408450704,36.111111111111114,49.06417112299465,12,38,0
coverup,sanic,no_tests,0.0,0.0,0.0,0,0,0
coverup,sty,ok,95.95959595959596,91.30434782608695,94.48275862068965,2,15,0
coverup,thefuck,no_tests,0.0,0.0,0.0,0,0,0
coverup,thonny,ok,44.19475655430712,26.785714285714285,39.050131926121374,3,22,0
coverup,tornado,ok,61.81959564541213,40.14598540145985,55.93316340979892,13,241,0
coverup,tqdm,ok,65.84766584766585,45.38461538461539,60.89385474860335,9,30,0
coverup,typesystem,ok,86.83098591549296,75.0367107195301,83.00809138505474,10,99,0
coverup,youtube-dl,ok,19.784353059177533,0.6211180124223602,14.677211697627367,35,13,0
